base:		4587.00		914.22		0.00126067
base:		4664.00		899.13		0.00126067
base:		4544.00		922.87		0.00126067
base:		4425.00		947.69		0.00126067
base:		4565.00		918.63		0.00126067
base:		4431.00		946.41		0.00126067
base:		4573.00		917.02		0.00126067
base:		4527.00		926.34		0.00126067
base:		4385.00		956.34		0.00126067
base:		4291.00		977.29		0.00126067
base:		4222.00		993.26		0.00126067
base:		4177.00		1003.96		0.00126067
base:		4555.00		920.65		0.00126067
base:		4371.00		959.40		0.00126067
base:		4448.00		942.79		0.00126067
base:		4373.00		958.96		0.00126067
base:		4637.00		904.36		0.00126067
base:		4627.00		906.32		0.00126067
base:		4354.00		963.15		0.00126067
base:		4481.00		935.85		0.00126067
