base:		6566.00		638.67		0.00126067
base:		6671.00		628.62		0.00126067
base:		6730.00		623.11		0.00126067
base:		6869.00		610.50		0.00126067
base:		6869.00		610.50		0.00126067
base:		6773.00		619.16		0.00126067
base:		6594.00		635.96		0.00126067
base:		6516.00		643.58		0.00126067
base:		6524.00		642.79		0.00126067
base:		6549.00		640.33		0.00126067
base:		6559.00		639.36		0.00126067
base:		6889.00		608.73		0.00126067
base:		6798.00		616.88		0.00126067
base:		7426.00		564.71		0.00126067
base:		7737.00		542.01		0.00126067
base:		7494.00		559.59		0.00126067
base:		6958.00		602.69		0.00126067
base:		7195.00		582.84		0.00126067
base:		6950.00		603.39		0.00126067
base:		6631.00		632.41		0.00126067
